,precision,recall,f1-score,support
non-default,0.8344858156028369,0.8039801844892381,0.8189490168783713,11708.0
weighted avg,0.735413887744986,0.7225333333333334,0.7284183750557058,15000.0
accuracy,0.7225333333333334,0.7225333333333334,0.7225333333333334,0.7225333333333334
macro avg,0.6087751658659346,0.6184238711024562,0.6126975546456888,15000.0
default,0.38306451612903225,0.43286755771567437,0.4064460924130062,3292.0
