,precision,recall,f1-score,support
non-default,0.8733469519406516,0.6937991117184831,0.7732876386310629,11708.0
weighted avg,0.7630858712033366,0.6824666666666667,0.7067805449358582,15000.0
accuracy,0.6824666666666667,0.6824666666666667,0.6824666666666667,0.6824666666666667
macro avg,0.6221446112572182,0.6679809653367628,0.6217678322173221,15000.0
default,0.37094227057378487,0.6421628189550426,0.47024802580358144,3292.0
